shapeName,shapeID,tehsil_area_km2,road_length_km,road_density_km_per_km2,tri_mean,forest_pct,water_pct,dist_to_roads_mean_m,spi_no_snow,ai,priority_high_scenic_low_access,spi_source,spi,spi_z,ai_z,road_density_z,dist_to_roads_z,tri_z,forest_z,water_z,gap_index,spi_local_I,spi_local_p,spi_quadrant,spi_cluster,ai_local_I,ai_local_p,ai_quadrant,ai_cluster,gap_local_I,gap_local_p,gap_quadrant,gap_cluster,spi_ai_bv_local_I,spi_ai_bv_local_p,spi_ai_bv_quadrant,spi_ai_bv_cluster
BAHRAIN,9618217B66331326355874,3185.3552113610567,7.7563181668934265,0.0024349931647275414,52.762072977370366,0.6228788682692821,17.91781389610104,27381.138430757426,0.5818156794786838,-1.419308351595578,True,merged_from_tehsil_spi_ai.csv,0.5782130709731406,0.9136358326376716,-1.5630051663698163,-0.9117140636014369,1.9269026395897193,0.9738039392165654,-0.10749910336587767,0.6594826385586223,2.476640999007488,0.5074227438279777,0.046,1,HH,1.3316892857306002,0.009,3,LL,1.0849041655239213,0.014,1,HH,-0.7784229224327907,0.005,4,HL
NAGAR-I,9618217B7415913583848,1414.0358344825315,41.785103735103775,0.0295502438595519,57.475730247613946,0.5856101166269423,35.62320091094907,17734.81204973228,1.0558495743787144,-0.7140888832511496,True,merged_from_tehsil_spi_ai.csv,1.0493117432555668,1.6580199521126355,-0.7863862792845957,-0.5767376556323253,0.8514401108699741,1.3163604163768656,-0.11915909223049552,2.0035887236439236,2.444406231397231,2.4477385571861614,0.001,1,HH,0.8303264398437546,0.009,3,LL,1.9265498879974827,0.002,1,HH,-1.7506635610174042,0.004,4,HL
DASSU,9618217B96945867102806,3513.999939458315,1.3260705364155754,0.0003773678313210187,56.94377100247987,0.6630695853111589,11.360971667292741,23521.608266035037,0.6114036870311624,-1.2168698696249367,True,merged_from_tehsil_spi_ai.csv,0.6076178692869714,0.9600984235745817,-1.3400709513794895,-0.937133557261598,1.4966061819882754,1.2777012448337117,-0.09492494156763533,0.16171935717456107,2.3001693749540713,0.7197340455615524,0.036,1,HH,1.502940077720357,0.004,3,LL,1.3396423304377454,0.007,1,HH,-1.076786567055243,0.001,4,HL
MASHABRUM,9618217B85218379767883,5908.0640334088575,88.84744045274316,0.015038334038075687,50.29164037363268,0.04451651342604504,33.77212284526534,19132.28425460785,0.7273046611777454,-0.8816291299424596,True,merged_from_tehsil_spi_ai.csv,0.7228011834426182,1.1420998490308552,-0.9708890132105974,-0.756014899994947,1.0072433598899722,0.7942697386414356,-0.28844690333256645,1.8630639618882547,2.1129888622414525,1.422983969750551,0.041,1,HH,0.8338096316763783,0.096,3,Not Significant,1.3842346268197654,0.056,1,Not Significant,-0.980847286868515,0.111,4,Not Significant
PATTAN,9618217B74983796043949,642.2212291880537,0.0,0.0,56.36675648839115,0.2740707289347058,9.070806795708302,21223.518682838803,0.5149674739632605,-1.0910945916250472,True,merged_from_tehsil_spi_ai.csv,0.511778790214757,0.8086628694457169,-1.2015616492293084,-0.9417954843092847,1.2403936989408098,1.2357677634869906,-0.2166280342074661,-0.012138719870791938,2.010224518675025,0.6756823377783878,0.033,1,HH,1.4199916295246664,0.004,3,LL,1.2622256629682012,0.012,1,HH,-0.9556684057425114,0.002,4,HL
YASIN,9618217B38991384841424,2500.8326204372797,64.56613851203507,0.02581785681472175,54.263278893817,0.23111310147384584,31.122298015946004,10903.940537680524,0.8329694461889727,-0.35635879984171676,True,merged_from_tehsil_spi_ai.csv,0.8278116910483984,1.3080271989446868,-0.39243808056775326,-0.6228468220014305,0.08987077768200304,1.082901351426933,-0.23006785807521776,1.6619022660432903,1.70046527951244,1.8555780576766479,0.001,1,HH,0.6071217157234945,0.002,3,LL,1.5696455720417097,0.002,1,HH,-2.0235847553004995,0.003,4,HL
GILGIT,9618217B24239170098361,4002.6924589700297,108.48095210665356,0.02710199527409303,55.21427629439186,0.41622425143342534,23.0457322024159,13446.862637292543,0.7382597199449767,-0.4901811533640168,True,merged_from_tehsil_spi_ai.csv,0.7336884083764111,1.1593027787411063,-0.5398091783957769,-0.6069828311685046,0.37337947555952894,1.1520133595031357,-0.1721535504547494,1.0487690288283167,1.6991119571368833,1.2346375373221115,0.001,1,HH,0.5629519251175774,0.001,3,LL,1.1147444170232053,0.003,1,HH,-1.2090045097528268,0.001,4,HL
BALAKOT,9618217B1796422743035,2436.4136507361986,25.767907133983243,0.010576162683293573,48.584196617764825,0.6102816242438172,8.720830015841877,21817.019979437806,0.2734967317156904,-1.0588512205892726,True,merged_from_tehsil_spi_ai.csv,0.271803237217914,0.42947693405004156,-1.166053822157454,-0.8111396764165377,1.3065627647620075,0.6701843661957592,-0.11144030661495363,-0.038707239331142125,1.5955307562074954,0.1910144908480671,0.101,1,Not Significant,0.2677555632259544,0.271,3,Not Significant,0.3349086963710029,0.173,1,Not Significant,-0.09861880831226079,0.266,4,Not Significant
PUNIAL,9618217B13486207754369,1540.4236789470865,29.47434217290833,0.019133919178037233,49.03447602012563,0.619247296472757,23.540484752495814,15258.935111824498,0.554435132847793,-0.6404125451349034,True,merged_from_tehsil_spi_ai.csv,0.5510020649607963,0.8706396580732406,-0.7052506353031847,-0.7054188566776024,0.5754062335922046,0.7029076035817884,-0.1086352854176649,1.0863282142116244,1.5758902933764252,0.970012293589627,0.018,1,HH,0.8311010599448986,0.01,3,LL,1.1245119672905135,0.007,1,HH,-1.0260033900482284,0.009,4,HL
KHAPLU,9618217B25754962135590,2637.4323947344633,115.50446964512788,0.04379428639601467,52.01199811497285,0.532346495385572,37.30444607906331,8516.417294677092,0.894124408608772,-0.11222849280293218,True,merged_from_tehsil_spi_ai.csv,0.8885879813293388,1.4040599580831172,-0.12359098279643149,-0.40076959037175663,-0.17631260476589228,0.9192936115159446,-0.13582327343312112,2.131220605346793,1.5276509408795487,1.3162062273901116,0.033,1,HH,0.09024857425414856,0.062,3,Not Significant,0.7929416896365392,0.03,1,HH,-1.0252722853822924,0.069,4,Not Significant
