shapeName,shapeID,tehsil_area_km2,road_length_km,road_density_km_per_km2,tri_mean,vegetation_pct,water_pct,dist_to_roads_mean_m,spi_no_snow,ai,priority_high_scenic_low_access
SAFI,9618217B32259055898287,322.8802869327046,100.55720272753489,0.31143803693563127,21.38360835745532,1.226158038147139,0.25699777062174883,387.18539704064614,-1.1055830987425503,0.4274299108384708,False
UPPER MOMAND,9618217B63558675564153,513.8074016796709,111.92688349986226,0.21783820772913307,23.797592912330106,3.9929136004360863,0.04867032667523265,443.7507097321276,-0.9682550147336468,0.20049549071039643,False
ASTORE,9618217B70325037560475,5206.053764504698,310.6891154593533,0.05967843005726471,48.84533952615123,2.766743755426306,19.301130208293316,3646.674171010664,0.20632819895333152,-0.8186758930293647,True
CHILAS,9618217B41750222117386,4219.784738764563,283.7960416913803,0.06725367744101278,50.24708171535301,4.952911790773839,14.758255247953667,3551.917921913805,0.21933871223429638,-0.7818606058178244,True
DAREL TANGIR,9618217B87521623220935,2682.0354177087884,57.599549342389096,0.021476058430128894,50.63146055777185,8.993900165545629,9.797020178669968,5197.259303285808,0.22929687156581274,-1.223798766627515,True
KHAPLU,9618217B25754962135590,2637.4323947344633,184.04275035570257,0.06978103049129795,52.01199811497285,0.5816378375509028,37.30444607906331,3261.512284335532,0.5900109784117709,-0.7166333366786342,True
MASHABRUM,9618217B85218379767883,5908.0640334088575,110.20699591973853,0.018653656307132283,50.29164037363268,0.045532099283673445,33.77212284526534,9404.797500048755,0.45674650548203577,-2.0910846237408363,True
GUPIS,9618217B90015961408219,5298.000053249936,145.25574284475027,0.02741708972910381,49.85490008975599,0.4460426222700417,39.63267078165997,7005.424258569889,0.5549610189089551,-1.5800494238999647,True
ISHKOMEN,9618217B15965056410830,2754.8893163101698,42.325451666129176,0.015363757598370172,56.27520600759633,0.39167571138690954,33.913526424498066,6254.510835455251,0.6712230996329538,-1.4541584018037819,True
PUNIAL,9618217B13486207754369,1540.4236789470865,75.95728134206307,0.049309344163017244,49.03447602012563,1.166443806877929,23.540484752495814,6745.382236139154,0.25468885529478597,-1.4764777007799061,True
YASIN,9618217B38991384841424,2500.8326204372797,86.00798885522063,0.03439174143537116,54.263278893817,0.2958887458315673,31.122298015946004,4761.906743651484,0.5505338742652648,-1.105015469894693,True
GILGIT,9618217B24239170098361,4002.6924589700297,334.5719772904889,0.08358673086180116,55.21427629439186,2.89907935992405,23.0457322024159,3306.0523287149854,0.4938256345895809,-0.6939802048025794,True
ALIABAD,9618217B18607943062555,805.7070538812313,32.98666790023923,0.040941267351870266,68.42625088891879,0.11669190853340616,28.53862005611143,7041.064727707434,0.9849563095480907,-1.5562233384343602,True
GOJAL,9618217B58972864826743,10801.975096734648,237.35852786869341,0.02197362294794079,53.69587780654561,0.13062020993657839,54.55462766760073,8103.352034728849,0.946192283253979,-1.8171918295098217,True
NAGAR-I,9618217B7415913583848,1414.0358344825315,79.58155250293404,0.05627972825176459,57.475730247613946,0.6711884066171114,35.62320091094907,5990.016529157635,0.7487281392439274,-1.3059045014752644,True
NAGAR-II,9618217B11035459557122,1450.7271779732662,64.39985397051852,0.044391430000290014,58.81352176218135,1.5231190169334996,21.773020806770642,6943.795284411659,0.5650933696737284,-1.5283852244561025,True
GULTARI,9618217B83227364220136,3527.7410040902296,232.1810576476468,0.06581578902148574,35.52387122595366,0.4187065737215559,23.18506150195746,2380.612225168062,-0.22951919472924742,-0.5455394887107613,False
KHARMANG,9618217B70387484269248,2789.4386265053054,200.49302082029448,0.07187575984472486,48.477703655288664,0.5122745131778944,27.67537067309071,2970.6556018182896,0.2956765399258149,-0.6523092071095742,True
RONDU,9618217B20972596228202,1651.8703934276025,110.14315463993753,0.06667784293378634,58.37408555829063,0.6151163635483012,26.317414573898724,3880.528980602388,0.6120422394334775,-0.8504138515424703,True
SHIGAR,9618217B26900800837648,8917.203853891411,157.0881331213742,0.01761629942471506,51.51642561094096,0.273172569706104,29.9020795205799,7006.240364319123,0.4343175890442267,-1.6027668414248901,True
SKARDU,9618217B88498185372954,1932.1847771181483,201.3664799402559,0.10421698914355065,41.874683679039,0.8441723125973697,26.592204216203346,4989.476535232221,0.05752776357687503,-0.9909128252062334,False
ALAI,9618217B82118214800407,818.5817149927093,108.33007521458666,0.13233874301180976,50.0987816866144,24.444417294840626,7.363379799880271,967.5011239894968,0.49425475004775804,-0.10337919863900791,True
BATAGRAM,9618217B42013741972359,537.0035719552906,232.17019109068423,0.4323438487482055,39.09727880442057,37.3198256918321,11.095385302990799,728.9180381860434,0.45687945943498937,0.6357070675944373,False
DAGGAR,9618217B69506225279330,656.5941548691908,161.97921902793976,0.24669610264838543,34.26316479948117,16.547880116959064,0.287828947368421,759.8321233653186,-0.34063983529620573,0.2022291206011832,False
GAGRA,9618217B56430132914599,472.0975856270561,96.52673547968531,0.20446352283601538,35.03186038566955,20.631659217522085,0.004236480332140058,962.5231222330359,-0.23307991148542445,0.06358978034934107,False
CHITRAL,9618217B14913426707390,5917.922388566619,411.75064075736833,0.06957689096309669,54.165705637991934,4.903804719778966,27.869677997177934,2722.3130240838436,0.586515251874329,-0.6067918997132646,True
MASTUJ,9618217B15142704211186,8849.246038145178,376.33655500681385,0.04252752758648519,52.15655054171271,0.4381236509927563,40.006441333016916,6080.106828577722,0.6401845076903769,-1.3559776503448286,True
DASSU,9618217B96945867102806,3513.999939458315,138.9410195534849,0.039539277731149514,56.94377100247987,13.168049721681522,11.360971667292741,4864.325337302576,0.5613557638965895,-1.1141247283508222,True
KANDIA,9618217B42691934354201,2087.676811297326,6.609788533193579,0.003166097595865961,60.75071518169327,4.492918145545641,17.641170074674406,8485.773010594277,0.6203247880414205,-1.9387026411061004,True
PALAS,9618217B98955281089867,1410.3437231088728,214.0595940286189,0.15177831511651602,57.39468140814967,35.347468444192316,5.9608566160828245,765.9105938154153,0.9492217049684102,-0.017409002964485387,True
PATTAN,9618217B74983796043949,642.2212291880537,12.055224650609793,0.018771140072480864,56.36675648839115,14.73597334039273,9.070806795708302,2286.794563780207,0.5338626859417064,-0.6345901234780965,True
ADENZAI,9618217B4451792369461,387.5036874842125,176.93320625651106,0.45659747757553815,24.07997690126276,10.008260622644432,0.18844545407610097,356.34214538222864,-0.8289281218812788,0.7677345781879619,False
LALQILLA,9618217B49164558096656,211.35278576809299,83.14355766610136,0.3933875646064618,30.468217063848634,12.219486791023577,0.004734400151500805,429.41827243761225,-0.5669888590023625,0.607345914498344,False
MUNDA,9618217B64606316264088,228.01114205602386,117.02179235062965,0.5132283944346747,22.549833864436174,11.153981059277447,0.23237460540161348,296.9564380672512,-0.856250886884972,0.9101849216212554,False
SAMARBAGH(BARWA),9618217B88301409575294,284.2665747426749,123.92526648071006,0.43594737296458536,30.263201741821064,13.346935903750087,0.003517906142264124,374.44598104656353,-0.5501860791366415,0.7165173953536956,False
TEMERGARA,9618217B87730202746425,649.0157879567058,265.29363404674706,0.4087629900067148,31.061104072677377,21.394015961544387,0.12941792746433303,417.43915761802407,-0.3505230516610814,0.6451736708272977,False
SWAT RANIZAI,9618217B91992316601631,677.1415821315042,266.6602094535969,0.3938027385856363,28.535492447083087,11.545843791525174,0.10925734534179832,595.4099695372121,-0.6454611195753949,0.574342059482853,False
