shapeName,shapeID,area_km2,tri_mean,dist_road_mean,forest_pct,water_pct,road_length_km,road_density,spi,ai,priority
PALAS,9618217B98955281089867,1410.3437231088728,57.39468140814967,12008.022770700982,0.8218692384059,5.9608566160828245,32.62046095079646,0.02312944030331129,0.5416035296823877,-0.43182107878470494,True
PATTAN,9618217B74983796043949,642.2212291880537,56.36675648839115,21223.518682838803,0.2740707289347058,9.070806795708302,0.0,0.0,0.511778790214757,-1.084338523002657,True
ADENZAI,9618217B4451792369461,387.5036874842125,24.07997690126276,2618.740509756792,0.893179823429191,0.18844545407610097,53.75401419672541,0.13871871657715626,-0.6866253762339373,0.797902892274341,False
LALQILLA,9618217B49164558096656,211.35278576809299,30.468217063848634,3227.996177148869,0.004734400151500805,0.004734400151500805,23.940925289756947,0.11327470893156878,-0.5540140565250101,0.6079585007363251,False
MUNDA,9618217B64606316264088,228.01114205602386,22.549833864436174,5486.462298884638,0.7453525078919677,0.23237460540161348,3.1299527298112935,0.013727192020476979,-0.7513697088607996,-0.12824705036393685,False
SAMARBAGH(BARWA),9618217B88301409575294,284.2665747426749,30.263201741821064,4102.144074819177,0.007035812284528248,0.003517906142264124,23.450070484655566,0.082493238981344,-0.5607931249959953,0.37057438389482333,False
TEMERGARA,9618217B87730202746425,649.0157879567058,31.061104072677377,5762.0901151157595,0.6409268788709827,0.12941792746433303,39.71940077944028,0.06119943692662505,-0.47347114089038456,0.14789894650904517,False
SWAT RANIZAI,9618217B91992316601631,677.1415821315042,28.535492447083087,2586.757953161118,0.7987597814853094,0.10925734534179832,96.57897673436904,0.1426274493885873,-0.5452343665474394,0.8236690642607496,False
BALAKOT,9618217B1796422743035,2436.4136507361986,48.584196617764825,21817.019979437806,0.6102816242438172,8.720830015841877,25.767907133983243,0.010576162683293573,0.271803237217914,-1.0522948032427728,True
MANSEHRA,9618217B1764376648259,1368.0828749983593,28.145216726738653,3398.6998075487472,0.19368938070561406,5.117054167245298,174.0027390227477,0.12718727951547262,-0.524934371745202,0.6839060488391987,False
ALPURI,9618217B67800644266725,571.833679362834,50.3837558736364,11585.111653642987,0.05071792091502125,0.26583186134769754,11.416150852314793,0.019964110657202362,0.1317030668675196,-0.4278228760960293,True
BISHAM,9618217B47007823281887,184.0247036565032,51.499823465529666,9368.596808824754,2.2980387895909162,6.057478133318846,1.4756125511302218,0.008018556866607272,0.47796151060004416,-0.37835867891190667,True
CHIKSAR,9618217B39481930993585,240.65880789705253,48.27333210526169,6752.148410222553,0.5856941098280303,0.6853867242668439,0.0,0.0,0.11634592713960687,-0.2826318926189792,True
MARTUNG,9618217B75574497464279,151.34601738305216,42.557544136129316,3520.6259562927603,2.8820729772607088,0.38339502908514017,2.552634656753474,0.016866216243357324,0.1267208959975071,-7.132579106305936e-05,False
PURAN,9618217B85285460066544,241.31924046493998,42.089660269118326,3077.741226321496,0.0,0.0,45.59147232634963,0.18892597307413364,-0.15954860788062042,1.0806794098913497,False
BABUZAI,9618217B96227356091196,325.58460853057363,35.003185800705154,3135.904005758989,0.7154701222133514,0.411472087453172,51.944116537683506,0.15954106913136146,-0.32766626474958793,0.8970734920835042,False
BAHRAIN,9618217B66331326355874,3185.3552113610567,52.762072977370366,27381.138430757426,0.6228788682692821,17.91781389610104,7.7563181668934265,0.0024349931647275414,0.5782130709731406,-1.4105199800892823,True
BARIKOT,9618217B68002200879702,350.72760825874815,30.24064069335084,2606.6865338948764,1.9704012090450256,0.35644016082580054,46.39840315999835,0.13229184719831946,-0.37574798875014553,0.7591183554004037,False
CHARBAGH,9618217B24557098667068,134.9929750202724,31.91158892184401,2679.360352640229,0.4220034056415192,1.0068853187236249,15.204563700407723,0.11263225881290782,-0.4490090220634759,0.6344088709570253,False
KABAL,9618217B36757297695869,405.76650407581604,23.437610182947232,2036.9226491789125,0.7293694404060813,0.6825518074070424,86.01225542799999,0.21197475534335605,-0.7146667007268172,1.2798287119742549,False
KHAWAZA KHELA,9618217B23020330942802,286.53234357053367,34.09889822438957,5303.567774119219,0.5340314136125655,0.34904013961605584,4.470027512263409,0.01560042910535527,-0.37610121906983374,-0.10661563326023632,False
MATTA,9618217B40124352215218,680.4163559458374,34.727050057040735,3504.744466789998,0.44974205970105385,0.9244697893854995,83.48696721722686,0.12269982414101846,-0.3522452265012232,0.6504842966333395,False
TORGHER,9618217B27486600301498,467.13520262330667,46.94733252310115,3199.6637490469975,6.9072540080053075,0.717053019114279,73.3198271397654,0.1569563302616048,0.649938334177491,0.8776744193442247,False
DIR,9618217B75611380767926,1129.0781698158198,40.68742824948009,3862.423686078823,0.19665509177237617,3.801112607185883,109.80292137863015,0.09725006143422442,-0.12174650185865875,0.47444178539054827,False
