shapeName,shapeISO,shapeID,shapeGroup,shapeType
CHARBAGH,,9618217B24557098667068,PAK,ADM3
KABAL,,9618217B36757297695869,PAK,ADM3
KHAWAZA KHELA,,9618217B23020330942802,PAK,ADM3
MATTA,,9618217B40124352215218,PAK,ADM3
TANK,,9618217B89518197918808,PAK,ADM3
TORGHER,,9618217B27486600301498,PAK,ADM3
DIR,,9618217B75611380767926,PAK,ADM3
SHARINGAL,,9618217B41054895723693,PAK,ADM3
WARI,,9618217B67850657595713,PAK,ADM3
ATTOCK,,9618217B50149376018014,PAK,ADM3
FATEH JANG,,9618217B26191403236071,PAK,ADM3
HASSANABDAL,,9618217B7124878941911,PAK,ADM3
HAZRO,,9618217B87894448087129,PAK,ADM3
JAND,,9618217B26860553208965,PAK,ADM3
PINDI GHEB,,9618217B75704590266710,PAK,ADM3
BAHAWALNAGAR,,9618217B66715726514164,PAK,ADM3
CHISHTIAN,,9618217B28318758204703,PAK,ADM3
FORT ABBAS,,9618217B32335001423443,PAK,ADM3
HAROONABAD,,9618217B64963445448677,PAK,ADM3
MINCHINABAD,,9618217B99235874147506,PAK,ADM3
AHMADPUR EAST,,9618217B72387286824542,PAK,ADM3
BAHAWALPUR,,9618217B62144943216166,PAK,ADM3
BAHAWALPUR CITY,,9618217B65956213169788,PAK,ADM3
HASILPUR,,9618217B38710441468568,PAK,ADM3
KHAIRPUR TAMEWALI,,9618217B97721699112019,PAK,ADM3
YAZMAN,,9618217B66821366213948,PAK,ADM3
BHAKKAR,,9618217B37121610639704,PAK,ADM3
DARYA KHAN,,9618217B62767421306838,PAK,ADM3
KALUR KOT,,9618217B20876188191816,PAK,ADM3
MANKERA,,9618217B35028785472961,PAK,ADM3
CHAKWAL,,9618217B61688476906431,PAK,ADM3
CHOA SAIDAN SHAH,,9618217B34165652086565,PAK,ADM3
KALLAR KAHAR,,9618217B86534483810344,PAK,ADM3
TALA GANG,,9618217B62547254689686,PAK,ADM3
BHAWANA,,9618217B38138021064938,PAK,ADM3
CHINIOT,,9618217B24634136652115,PAK,ADM3
LALIAN,,9618217B62286570878948,PAK,ADM3
